,TM,gmp_people,gmp_congest,Origin
415,2018102621,602,N,김포공항
416,2018102706,2438,Y,김포공항
417,2018102707,2376,Y,김포공항
418,2018102708,1834,Y,김포공항
419,2018102709,2144,Y,김포공항
420,2018102710,1879,N,김포공항
421,2018102711,2222,Y,김포공항
422,2018102712,1398,N,김포공항
423,2018102713,1803,N,김포공항
424,2018102714,2560,Y,김포공항
425,2018102715,2385,Y,김포공항
426,2018102716,1127,N,김포공항
427,2018102717,1476,N,김포공항
428,2018102718,2557,Y,김포공항
429,2018102719,1916,N,김포공항
430,2018102720,662,N,김포공항
431,2018102721,255,N,김포공항
432,2018102806,2525,Y,김포공항
433,2018102807,1753,N,김포공항
434,2018102808,1220,N,김포공항
435,2018102809,1819,N,김포공항
436,2018102810,803,N,김포공항
437,2018102811,1697,N,김포공항
438,2018102812,1813,N,김포공항
439,2018102813,2045,Y,김포공항
440,2018102814,2423,Y,김포공항
441,2018102815,2525,Y,김포공항
442,2018102816,1427,N,김포공항
443,2018102817,1297,N,김포공항
444,2018102818,2211,Y,김포공항
445,2018102819,2215,Y,김포공항
446,2018102820,1523,N,김포공항
447,2018102821,264,N,김포공항
448,2018102906,2694,Y,김포공항
449,2018102907,2043,Y,김포공항
450,2018102908,1455,N,김포공항
451,2018102909,2190,Y,김포공항
452,2018102910,453,N,김포공항
453,2018102911,1813,Y,김포공항
454,2018102912,1829,Y,김포공항
455,2018102913,2113,Y,김포공항
456,2018102914,2221,Y,김포공항
457,2018102915,2052,Y,김포공항
458,2018102916,1491,N,김포공항
459,2018102917,1024,N,김포공항
460,2018102918,2120,Y,김포공항
461,2018102919,1602,N,김포공항
462,2018102920,1383,N,김포공항
463,2018102921,70,N,김포공항
464,2018103006,2607,Y,김포공항
465,2018103007,1888,N,김포공항
466,2018103008,1554,N,김포공항
467,2018103009,1831,Y,김포공항
468,2018103010,638,N,김포공항
469,2018103011,1785,Y,김포공항
470,2018103012,1745,Y,김포공항
471,2018103013,1909,Y,김포공항
472,2018103014,2112,Y,김포공항
473,2018103015,1800,Y,김포공항
474,2018103016,1009,N,김포공항
475,2018103017,952,N,김포공항
476,2018103018,1240,N,김포공항
477,2018103019,1236,N,김포공항
478,2018103020,1014,N,김포공항
479,2018103021,60,N,김포공항
480,2018103106,2638,Y,김포공항
481,2018103107,2072,Y,김포공항
482,2018103108,1300,N,김포공항
483,2018103109,2213,Y,김포공항
484,2018103110,814,N,김포공항
485,2018103111,1632,Y,김포공항
486,2018103112,1774,Y,김포공항
487,2018103113,2168,Y,김포공항
488,2018103114,1992,Y,김포공항
489,2018103115,1770,N,김포공항
490,2018103116,1346,N,김포공항
491,2018103117,1024,N,김포공항
492,2018103118,1816,N,김포공항
493,2018103119,1600,N,김포공항
494,2018103120,1526,N,김포공항
495,2018103121,101,N,김포공항
496,2018110106,2576,Y,김포공항
497,2018110107,1852,Y,김포공항
498,2018110108,1388,N,김포공항
499,2018110109,1774,Y,김포공항
500,2018110110,670,N,김포공항
501,2018110111,1798,Y,김포공항
502,2018110112,1802,N,김포공항
503,2018110113,1928,N,김포공항
504,2018110114,2430,Y,김포공항
505,2018110115,2029,Y,김포공항
506,2018110116,1346,N,김포공항
507,2018110117,1315,N,김포공항
508,2018110118,1883,N,김포공항
509,2018110119,1723,N,김포공항
510,2018110120,1630,N,김포공항
511,2018110121,198,N,김포공항
512,2018110206,2633,Y,김포공항
513,2018110207,1741,N,김포공항
514,2018110208,1459,N,김포공항
515,2018110209,2185,Y,김포공항
516,2018110210,463,N,김포공항
517,2018110211,1874,Y,김포공항
518,2018110212,1811,N,김포공항
519,2018110213,1950,N,김포공항
520,2018110214,2410,Y,김포공항
521,2018110215,2106,Y,김포공항
522,2018110216,1482,N,김포공항
523,2018110217,1167,N,김포공항
524,2018110218,2248,Y,김포공항
525,2018110219,1955,N,김포공항
526,2018110220,1653,N,김포공항
527,2018110221,192,N,김포공항
528,2018110306,2907,Y,김포공항
529,2018110307,2074,Y,김포공항
530,2018110308,1753,N,김포공항
531,2018110309,1834,Y,김포공항
532,2018110310,830,N,김포공항
533,2018110311,1959,N,김포공항
534,2018110312,1890,N,김포공항
535,2018110313,1953,Y,김포공항
